2025-09-16T06:18:59.493Z error: [apps/auth_service/src/configs/redis.config.ts:24] Error: read ETIMEDOUT
2025-09-16T06:18:59.959Z error: [apps/auth_service/src/configs/redis.config.ts:24] Error: getaddrinfo ENOTFOUND redis-11570.c212.ap-south-1-1.ec2.redns.redis-cloud.com
2025-09-16T06:19:00.125Z error: [apps/auth_service/src/configs/redis.config.ts:24] Error: getaddrinfo ENOTFOUND redis-11570.c212.ap-south-1-1.ec2.redns.redis-cloud.com
2025-09-16T06:19:00.282Z error: [apps/auth_service/src/configs/redis.config.ts:24] Error: getaddrinfo ENOTFOUND redis-11570.c212.ap-south-1-1.ec2.redns.redis-cloud.com
2025-09-16T06:19:00.606Z error: [apps/auth_service/src/configs/redis.config.ts:24] Error: getaddrinfo ENOTFOUND redis-11570.c212.ap-south-1-1.ec2.redns.redis-cloud.com
2025-09-16T06:19:01.167Z error: [apps/auth_service/src/configs/redis.config.ts:24] Error: getaddrinfo ENOTFOUND redis-11570.c212.ap-south-1-1.ec2.redns.redis-cloud.com
2025-09-16T06:19:02.131Z error: [apps/auth_service/src/configs/redis.config.ts:24] Error: getaddrinfo ENOTFOUND redis-11570.c212.ap-south-1-1.ec2.redns.redis-cloud.com
2025-09-16T06:19:03.837Z error: [apps/auth_service/src/configs/redis.config.ts:24] Error: getaddrinfo ENOTFOUND redis-11570.c212.ap-south-1-1.ec2.redns.redis-cloud.com
2025-09-16T06:19:05.865Z error: [apps/auth_service/src/configs/redis.config.ts:24] Error: getaddrinfo ENOTFOUND redis-11570.c212.ap-south-1-1.ec2.redns.redis-cloud.com
2025-09-16T06:19:07.941Z error: [apps/auth_service/src/configs/redis.config.ts:24] Error: getaddrinfo ENOTFOUND redis-11570.c212.ap-south-1-1.ec2.redns.redis-cloud.com
